date,upper_vel_spikes,lower_vel_spikes,upper_vel_flip_rate,lower_vel_flip_rate,upper_vel_deriv_std,lower_vel_deriv_std,upper_err_spikes,lower_err_spikes,upper_err_flip_rate,lower_err_flip_rate,upper_err_deriv_std,lower_err_deriv_std,upper_cur_spikes,lower_cur_spikes,upper_cur_flip_rate,lower_cur_flip_rate,upper_cur_deriv_std,lower_cur_deriv_std,upper_vel_spikes_norm,lower_vel_spikes_norm,upper_vel_flip_rate_norm,lower_vel_flip_rate_norm,upper_err_spikes_norm,lower_err_spikes_norm,upper_err_flip_rate_norm,lower_err_flip_rate_norm,upper_cur_spikes_norm,lower_cur_spikes_norm,upper_cur_flip_rate_norm,lower_cur_flip_rate_norm,upper_vel_deriv_std_norm,lower_vel_deriv_std_norm,upper_err_deriv_std_norm,lower_err_deriv_std_norm,upper_cur_deriv_std_norm,lower_cur_deriv_std_norm,oscillation_score
2018-05-17,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,179,147,1746,616,3.0566266151749026,6.015581412341063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16791744840525327,0.1616272677295217,0.3136057476425685,0.12200435729847495,0.0,0.0,0.0,0.0,0.8367659536949819,0.974958836659215,0.037460792629180596
2018-05-18,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,226,199,2103,1126,3.5858611398305564,6.681125409090627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21200750469043153,0.21880153930731172,0.3777278850471486,0.22301445830857597,0.0,0.0,0.0,0.0,0.9816464011638522,1.0,0.04892351142014366
2018-05-19,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,218,186,2126,1057,3.0944305068014404,5.244036934179718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2045028142589118,0.2045079714128642,0.381859003143242,0.20934838581897405,0.0,0.0,0.0,0.0,0.8471149473447841,0.8499128842736607,0.0486533196052729
2018-05-20,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,224,167,2038,1020,3.141832164956463,5.481761296118764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2101313320825516,0.18361737218251786,0.36605298607992814,0.20202020202020202,0.0,0.0,0.0,0.0,0.8600913748534288,0.8884414073664018,0.04670630870900292
2018-05-21,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,208,217,1851,841,4.17968878471146,7.58022708045558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,0.23859263331500824,0.3324651998203862,0.16656763715587244,0.0,0.0,0.0,0.0,1.0,1.0,0.04157490183983224
2018-05-22,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,128,120,1759,670,2.75017846387496,4.887741337430344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1200750469043152,0.1319406267179769,0.3159407274360126,0.13269954446425034,0.0,0.0,0.0,0.0,0.7528743267924634,0.7921672539342678,0.038229049966813776
2018-05-23,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,138,132,1779,658,2.8802465308909917,4.891412026347137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1294559099437148,0.1451346893897746,0.3195330040413112,0.13032283620518914,0.0,0.0,0.0,0.0,0.7884810736556896,0.7927621707595496,0.03846944221439058
2018-05-24,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,20,0,227,60,0.014883830244430525,0.3517505756029022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01876172607879925,0.0,0.0407723394701392,0.011883541295306001,0.0,0.0,0.0,0.0,0.004074518734897059,0.05700900851918703,0.004671411011779221
2018-05-24,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,60,47,604,255,3.469501693018582,6.140110101001778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05628517823639775,0.05167674546454096,0.10848675348001796,0.050505050505050504,0.0,0.0,0.0,0.0,0.949792453743627,0.9951414818775597,0.013373927873254322
2021-02-09,8,17,3819,3798,0.18625175271015898,0.2639394437192307,94,77,117,121,0.000612438844944425,0.00138307197948477,69,66,123,114,0.08348569874284036,0.14053278339841196,0.02112676056338028,0.053497942386831275,0.06579258105992355,0.06522974686311371,0.26857142857142857,0.23088455772113944,0.036885245901639344,0.03788946297166119,0.0647279549718574,0.0725673446948873,0.022092501122586438,0.0225787284610814,0.6575966747843669,0.6614532789582609,0.00017607720913418926,0.032623239741486613,0.02285460382423825,0.022776464920499853,0.07082184981489957
2021-02-10,4,20,5773,5739,0.10423675554393429,0.24075688742553905,140,121,195,209,0.0006671150356312711,0.001492405385110562,106,96,199,193,0.06329142046749385,0.15366399197535896,0.007042253521126761,0.06584362139917696,0.09997463460714255,0.09917369824684126,0.4,0.36281859070464767,0.06147540983606557,0.06544543604196024,0.09943714821763602,0.10555250137438153,0.03574315222272115,0.03822539116656764,0.3662922652240966,0.6028866111517124,0.00019179670691213022,0.03520214377279534,0.017326324892045136,0.024904669488032667,0.07891734232391961
2021-02-11,19,29,5679,5691,0.22414675850194662,0.28527727161270533,178,142,289,280,0.000717565813545846,0.0019529040102895783,151,116,244,247,0.0777580609285796,0.16681274110845515,0.05985915492957746,0.102880658436214,0.09833025741500406,0.09833428059283872,0.5085714285714286,0.4257871064467766,0.09110970996216898,0.0876780961327697,0.14165103189493433,0.12754260582737767,0.04382577458464302,0.04892057833234304,0.7921937932246242,0.7153595635853144,0.0002063013913343818,0.046064164891491184,0.021286635955910606,0.027035716893031282,0.11188754762818849
2021-02-12,24,44,5736,5629,0.26134531044583953,0.35888566453625353,172,107,394,374,0.0009791592452233534,0.0030874661446334806,125,120,327,367,0.10106509353357479,0.19905706071014106,0.07746478873239436,0.1646090534979424,0.09932737975491783,0.09725003278975211,0.49142857142857144,0.32083958020989506,0.12421185372005045,0.11711288554877095,0.11726078799249531,0.1319406267179769,0.05873372249663224,0.07268766092295505,0.9243172168047116,0.9013182750195852,0.0002815099476789592,0.0728256733735748,0.027667046068384514,0.03226162643907023,0.1339621426231015
2021-02-13,20,37,5651,5645,0.23174715261174744,0.3223750769212101,196,174,320,322,0.0007606008277176652,0.0019350823325407908,144,121,297,318,0.08765047323651928,0.1988467911914751,0.06338028169014084,0.13580246913580246,0.09784044293223941,0.09752983867441962,0.56,0.5217391304347826,0.1008827238335435,0.10082981055268514,0.1350844277673546,0.13304013194062672,0.05334530758868433,0.0629827688651218,0.8191892013216773,0.8090806706250259,0.00021867403107298593,0.04564379568842859,0.02399473048669237,0.03222754758430103,0.11913122166649417
2021-02-14,14,40,5694,5669,0.1989466786420376,0.3394702563398928,202,159,350,368,0.0008528457646937698,0.0022377109087495725,131,130,339,355,0.0987293093469487,0.1949868292504461,0.04225352112676056,0.14814814814814814,0.09859265803077084,0.09794954750142089,0.5771428571428572,0.4767616191904048,0.11034047919293821,0.11523406920306874,0.12288930581613508,0.14293567894447498,0.060889088459811405,0.07031095266389384,0.7026870610645997,0.8522686470251857,0.0002451946072800447,0.05278205366829287,0.02702761412964377,0.03160195485342152,0.11914704552812493
2021-02-15,11,22,5721,5664,0.16718856968711207,0.23908757507025766,130,102,167,162,0.0004472183378648744,0.0015500284368773695,99,81,162,158,0.06424294127343237,0.13652215304128404,0.03169014084507042,0.07407407407407407,0.09906497913915105,0.0978621081624623,0.37142857142857144,0.3058470764617691,0.05264817150063052,0.050728041333959605,0.09287054409005628,0.08905992303463442,0.029097440502918726,0.03129332541097247,0.5898872378918304,0.5986693858837753,0.00012857603245598116,0.03656132873229755,0.0175868082008958,0.022126453019865655,0.08435208553800563
2021-02-16,12,18,5753,5667,0.1835985395956164,0.21002999352118412,93,70,124,127,0.0005174623263905598,0.0017020756016437046,86,81,113,117,0.061874926489316764,0.11342803666853656,0.035211267605633804,0.05761316872427984,0.0996247671194535,0.09791457176583745,0.26571428571428574,0.2098950524737631,0.03909205548549811,0.039768279317363396,0.08067542213883677,0.08905992303463442,0.020296362819937134,0.023172905525846704,0.6481728778389994,0.5252604958421981,0.00014877129857953844,0.04014774446608554,0.016938552984063916,0.018383537532718416,0.08106646894954744
2021-02-17,12,18,5754,5729,0.17382515208835994,0.21816682121884717,94,32,108,110,0.0004009087292827335,0.0029297078148729947,83,83,110,102,0.061214185212251374,0.10894482834611169,0.035211267605633804,0.05761316872427984,0.09964226049383795,0.09899881956892406,0.26857142857142857,0.095952023988006,0.034047919293820936,0.034444966337873806,0.07786116322701689,0.09125893347993402,0.019757521329142345,0.020202020202020204,0.6134593379307456,0.5458167657690755,0.00011526194125724278,0.06910454541398006,0.016757671942819165,0.017656933856211737,0.07717740506347455
2021-02-18,12,17,5754,5704,0.18107721886191902,0.21273676205624137,89,70,105,92,0.00031952317522288573,0.0011037813926749564,65,80,102,104,0.06527154253199047,0.11219003626760204,0.035211267605633804,0.053497942386831275,0.09964226049383795,0.09856162287413107,0.2542857142857143,0.2098950524737631,0.03310214375788146,0.028808517300767184,0.06097560975609756,0.0879604178119846,0.0183206106870229,0.02059813824519707,0.639217541948989,0.5320986724269371,9.186345610074026e-05,0.02603546708309522,0.017868392647231578,0.0181828920176893,0.07721345934478782
2021-02-19,67,8,5757,5723,0.004991615888337849,0.15270683120397943,67,61,76,83,0.00024635818706201823,0.0007986766065396919,51,57,71,75,0.04066880089121613,0.1042889982569697,0.22887323943661972,0.01646090534979424,0.09969474061699131,0.09889389236217375,0.19142857142857142,0.18290854572713644,0.02395964691046658,0.02599029278221387,0.04784240150093809,0.06267179769103903,0.012752581948810059,0.014854426619132501,0.013789091316703153,0.38044356700479715,7.082839761605094e-05,0.018838801448907712,0.011133276074487936,0.016902352980939978,0.04243130993599876
2021-02-20,2,8,5736,5775,0.07646445902855585,0.15082158615472874,67,58,78,82,0.0002134208910362917,0.0009644308200530561,65,73,81,80,0.03301275216103804,0.0926118004319047,0.0,0.01646090534979424,0.09932737975491783,0.09980326148734316,0.19142857142857142,0.17391304347826086,0.02459016393442623,0.025677156724596837,0.06097560975609756,0.08026388125343595,0.014548720251459363,0.015844721727074667,0.26764942284067017,0.37568082560843735,6.135886901166789e-05,0.02274853248663899,0.009037396621813557,0.01500980321283131,0.05548063173244831
2021-02-21,2,8,5791,5742,0.0770279859532731,0.15406333265859803,53,58,82,80,0.0001689986395546898,0.0009400827880023213,61,59,66,82,0.025383932409089045,0.1021369171073052,0.0,0.01646090534979424,0.10028951534606267,0.09922616185021642,0.15142857142857144,0.17391304347826086,0.025851197982345524,0.025050884609362768,0.05722326454033771,0.06487080813633865,0.011854512797485407,0.016240839770251536,0.2696509821133403,0.3838705303243412,4.8587396188046875e-05,0.022174222762628513,0.006948971230365655,0.01655356033892392,0.05568585255477192
2021-02-22,6,10,5753,5789,0.09358301350766615,0.14589725295673187,63,67,82,78,0.0001574569934705223,0.000690379050010031,41,70,80,82,0.033404282173911407,0.0973380571161115,0.014084507042253521,0.024691358024691357,0.0996247671194535,0.10004809163642722,0.18,0.20089955022488756,0.025851197982345524,0.024424612494128698,0.038461538461538464,0.07696536558548653,0.014369106421194431,0.016240839770251536,0.3284518440729197,0.36324036033264206,4.52691533167947e-05,0.016284330530192067,0.009144579809644119,0.01577579828508383,0.05873232570684879
2021-02-23,52,8,5763,5779,0.004268920957511871,0.15407877736169454,41,63,76,79,0.00018591348845905842,0.0007441484220536369,63,72,70,86,0.01966400073042345,0.09360056405731687,0.176056338028169,0.01646090534979424,0.09979970086329802,0.09987321295851004,0.11714285714285715,0.1889055472263868,0.02395964691046658,0.024737748551745733,0.05909943714821764,0.07916437603078615,0.012572968118545127,0.017033075856605268,0.01122219224469831,0.38390954866141175,5.345044400513625e-05,0.017552616737234742,0.005383112953006226,0.015170054361953011,0.042323240740209316
2021-02-24,9,9,5736,5727,0.017966174430815655,0.14763935878062598,72,56,84,78,0.00018471722536266583,0.0009550956719266366,73,63,73,80,0.025905070020769444,0.09664078533779114,0.02464788732394366,0.0205761316872428,0.09932737975491783,0.09896384383334061,0.2057142857142857,0.1679160419790105,0.02648171500630517,0.024424612494128698,0.06848030018761726,0.06926882902693787,0.013111809609339919,0.015844721727074667,0.059872688781949984,0.3676414855484848,5.310651633114597e-05,0.022528339481598193,0.0070916351097152506,0.015662789876547976,0.04514834309803156
2021-02-25,4,11,5804,5725,0.08046082218837865,0.14352939372595105,62,72,74,66,0.00024184568864272306,0.0005975855070999478,73,56,70,70,0.027134299614301714,0.08968747948261083,0.007042253521126761,0.02880658436213992,0.10051692921306056,0.09892886809775718,0.17714285714285713,0.2158920539730135,0.023329129886506934,0.020666979802724285,0.06848030018761726,0.061572292468389224,0.012572968118545127,0.013864131511190335,0.28184387813402495,0.3572583787416151,6.953104664876533e-05,0.01409556086258208,0.007428142509093264,0.014535851926112347,0.05497825249320337
2021-02-26,8,13,5720,5681,0.15190616571605098,0.18317654157831148,90,55,95,99,0.00028339050860222084,0.0014293246755888876,71,54,79,85,0.04640798962765593,0.10805507018002698,0.02112676056338028,0.037037037037037035,0.09904748576476659,0.09815940191492152,0.2571428571428571,0.16491754122938532,0.02994955863808323,0.031000469704086424,0.06660412757973734,0.05937328202308961,0.014189492590929501,0.016835016835016835,0.5356065353463108,0.4574199531741189,8.147525301783477e-05,0.033714226194886426,0.0127044060622466,0.017512728745009296,0.07081207185304036
2021-02-27,8,13,5737,5742,0.14154504726883516,0.18447313702183157,88,75,103,93,0.00028703036417884265,0.0009768949505373004,79,64,77,101,0.048672106181137216,0.10836628556571257,0.02112676056338028,0.037037037037037035,0.09934487312930228,0.09922616185021642,0.25142857142857145,0.22488755622188905,0.032471626733921816,0.02912165335838422,0.07410881801125703,0.07036833424958769,0.013830264930399641,0.020003961180431767,0.49880546729856107,0.46069557444979287,8.252171768426402e-05,0.023042530429615283,0.013324218648365155,0.01756316812394547,0.06960949558687822
2021-02-28,12,18,5761,5679,0.1822837326089965,0.21442587485495737,104,85,110,122,0.00035876228827176376,0.0012091889800940636,99,72,100,112,0.05578475054064847,0.12512201450487365,0.035211267605633804,0.05761316872427984,0.09976471411452913,0.09812442617933809,0.29714285714285715,0.25487256371814093,0.03467843631778058,0.03820259902927822,0.09287054409005628,0.07916437603078615,0.01796138302649304,0.022182610417904536,0.6435028895910359,0.536365920046955,0.00010314476781305391,0.028521770793930472,0.015271338591387412,0.02027880687507063,0.07925611215455415
2021-03-01,12,16,5821,5684,0.18073811350232122,0.21716049334862328,108,96,137,120,0.000491498452799151,0.0010499668695640916,106,63,112,114,0.05296010366988909,0.12454665130940187,0.035211267605633804,0.04938271604938271,0.10081431657759624,0.09821186551829668,0.30857142857142855,0.28785607196401797,0.04319041614123581,0.03757632691404415,0.09943714821763602,0.06926882902693787,0.020116748989672206,0.0225787284610814,0.6380130928851654,0.5432744546739046,0.00014130664078059856,0.02476611587429297,0.014498078186950583,0.020185556465299286,0.08147349957012211
2021-03-02,16,18,5651,5659,0.20788874227293408,0.2145324612560895,117,83,122,133,0.0003954427549561703,0.0012101973963506232,96,89,99,120,0.06260421107326417,0.1314235903807909,0.04929577464788732,0.05761316872427984,0.09784044293223941,0.09777466882350369,0.3342857142857143,0.24887556221889057,0.038461538461538464,0.041647095663065604,0.0900562851782364,0.09785596481583288,0.01778176919622811,0.023767082590612002,0.7344478689198902,0.536635191919682,0.00011369046434560483,0.028545556833836517,0.017138198078879292,0.021300117478980005,0.0849082979752252
