date,Upper axis current_mean,Upper axis current_max,Upper axis current_std,Lower axis current_mean,Lower axis current_max,Lower axis current_std,Upper/X following error_mean,Upper/X following error_max,Upper/X following error_std,Lower/Y following error_mean,Lower/Y following error_max,Lower/Y following error_std,Upper/X velocity_mean,Upper/X velocity_max,Upper/X velocity_std,Lower/Y velocity_mean,Lower/Y velocity_max,Lower/Y velocity_std,Antenna azimuth velocity_mean,Antenna azimuth velocity_max,Antenna azimuth velocity_std,Antenna elevation velocity_mean,Antenna elevation velocity_max,Antenna elevation velocity_std,Movement warning_count,Antenna alarm_count,Antenna brake_count,samples,tracking_samples,tracking_ratio,failed_movement_attempts,failed_movement_rate,error_spikes,error_spike_ratio
2016-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0
2021-02-09,0.039668966010109816,3.430677,0.2718569281627108,0.12448109569461391,5.624439,0.6625035799172192,-6.164371622799372e-06,0.011588,0.00044925947592464006,3.095223984660972e-05,0.023401,0.0009621041056618567,-0.0025355950845389573,5.056381,0.15062443520499583,-0.0005043414676660281,5.088947,0.24109591040224984,-2.995549748823427,433.965317,74.50952517531373,0.002300954854453547,6.57386,0.22257084845605046,250.0,0.0,5499.0,5738.0,190.0,0.033112582781456956,1.0,0.0001742767514813524,0.0,0.0
2021-02-10,0.026659308369024193,3.563341,0.1902734520445443,0.11587993112628776,6.686392,0.6372363654379617,5.965852529227919e-06,0.0121,0.0004596084115639932,1.3649149207084155e-05,0.024368,0.0009937173500293693,-0.00034096689431647147,5.006488,0.07700952552806513,0.0001424838522977201,5.151288,0.22605155332605528,0.6512538556545896,1439.996057,27.2987324019918,0.0006761178377126984,6.601927,0.2067517691465007,342.0,0.0,8312.0,8640.0,317.0,0.036689814814814814,1.0,0.00011574074074074075,0.0,0.0
2021-02-11,0.05097917559902766,3.687674,0.2850772138626352,0.1416723076744994,5.527024,0.6871662438457125,-6.330362310452599e-06,0.010083,0.0004914483661015386,-2.028707026276188e-06,0.044212,0.0014470598009338313,-4.296689431647213e-05,5.107615,0.1689955850121219,0.0014359775436971875,5.216006,0.26849369889934943,0.016146123741173742,20.745817,3.6266263091133717,0.0004134150943396221,5.809877,0.25400134407382063,464.0,0.0,8196.0,8640.0,427.0,0.049421296296296297,1.0,0.00011574074074074075,0.0,0.0
2021-02-12,0.06993141724537037,3.783807,0.3390896971784284,0.19634663703703706,5.850032,0.7841786227407618,-3.0104166666666735e-07,0.027586,0.0006543232444334247,-2.156412037037037e-05,0.095009,0.0020371256239015106,-0.0021525783564814815,5.022658,0.1897908723776137,-0.0006534304398148156,5.116068,0.359223922312037,2.343127573842592,1433.772708,61.70914645849903,0.0007318061342592583,6.366194,0.33734757731830733,659.0,0.0,8014.0,8641.0,604.0,0.0698993172086564,1.0,0.0001157273463719477,0.0,0.0
2021-02-13,0.0555115693287037,3.689596,0.29281094611851927,0.18083557407407405,6.617176,0.7749828070815848,-3.928472222222222e-06,0.009558,0.000547427455515933,-2.353935185185187e-06,0.027036,0.0014266842235720386,-0.0003611061342592593,5.043374,0.16823526406993244,0.002117700231481482,5.145394,0.31137163351705577,-0.0011631326388888933,10.410083,2.418301741369139,0.0002108121527777777,5.792211,0.3015674811544627,571.0,0.0,8096.0,8641.0,526.0,0.060872584191644485,1.0,0.0001157273463719477,0.0,0.0
2021-02-14,0.07234098043981481,3.488357,0.35412112322255623,0.1816929099537037,5.368725,0.7464336484641673,-1.994618055555556e-05,0.008948,0.0006267314202884292,-2.860763888888886e-06,0.02544,0.0015929865182008575,-9.303101851851944e-05,5.078696,0.14652789095917795,-0.0008027357638888876,5.092157,0.33160114013934056,-0.0425845620370371,1430.82542,23.285192728283736,0.0018461342592592594,5.743609,0.28076860451476116,619.0,0.0,8048.0,8641.0,571.0,0.06608031477838214,1.0,0.0001157273463719477,0.0,0.0
2021-02-15,0.0283708224537037,3.713309,0.21737134555806195,0.08945055625000001,5.220679,0.5433512910667735,6.64467592592593e-07,0.01077,0.00031876403759997633,-5.019328703703704e-06,0.023695,0.0011765540967219766,0.000412644675925926,5.115763,0.12356918204284856,-0.0013981339120370366,5.156109,0.2261175167957809,0.2836859581018519,650.690341,39.29362368685618,-0.0006234844907407407,5.07334,0.21234888152597278,294.0,0.0,8362.0,8641.0,267.0,0.030899201481310035,2.0,0.0002314546927438954,0.0,0.0
2021-02-16,0.024398950457228848,3.5768,0.2106636237848305,0.06022528822780414,5.30015,0.43385257536582617,-6.075008681560365e-06,0.009035,0.0003390013327574037,2.4537909480263923e-05,0.043609,0.001131710040721275,0.0005530481537214955,4.998022,0.14242072329869387,-0.00031534818844773725,5.086382,0.2059236256766384,22.162088037388582,1439.946924,488.2710551939806,-0.0016229319365667324,6.759568,0.2100473274020741,213.0,0.0,8438.0,8641.0,190.0,0.02198819581067006,4.0,0.0004629093854877908,0.0,0.0
2021-02-17,0.022751993634259258,3.507584,0.20165551519089323,0.05875295208333334,4.798334,0.4310650950052005,5.611342592592592e-06,0.011531,0.000298381052619992,5.0631944444444516e-06,0.16821,0.0020887640665689217,0.0003924130787037031,5.076369,0.1360885546228378,-0.0005434913194444446,5.127472,0.19452184429723432,-66.25610764108797,1436.786517,370.01307134924923,-0.0010098214120370375,6.672044,0.19722842721312517,205.0,0.0,8448.0,8641.0,179.0,0.020715195000578637,3.0,0.0003471820391158431,0.0,0.0
