date,active_flag,health_index,risk_level,risk_score,p_critical_next_7d,weekly_forecast_level,rolling_7d_episode_count,rolling_7d_fault_duration,episode_trend_slope_14d,critical_next_7d
2016-04-07,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-08,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-09,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-10,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-11,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-12,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-13,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-14,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-15,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-16,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-17,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-18,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-19,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-20,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-21,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-22,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-23,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-24,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-25,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-26,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-27,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-28,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-29,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-04-30,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-01,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-02,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-03,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-04,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-05,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-06,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-07,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-08,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-09,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-10,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-11,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-12,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-13,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-14,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-15,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-16,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-17,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-18,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-19,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-20,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-21,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-22,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-23,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-24,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-25,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-26,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-27,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-28,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-29,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-30,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-05-31,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-01,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-02,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-03,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-04,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-05,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-06,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-07,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-08,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-09,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-10,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-11,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-12,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-13,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-14,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-15,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-16,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-17,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-18,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-19,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-20,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-21,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-22,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-23,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-24,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-25,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-26,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-27,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-28,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-29,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-06-30,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-07-01,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-07-02,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-07-03,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
2016-07-04,False,100.0,Inactive,0.0,0.004526462395543176,Normal,0.0,0.0,0.0,0
