day_index,moving_samples,is_operational
456,8640,True
457,8640,True
458,8640,True
459,8640,True
460,8640,True
461,8640,True
462,8640,True
463,8640,True
464,8640,True
465,8640,True
466,8640,True
467,8640,True
468,8640,True
469,8640,True
470,8640,True
471,8640,True
472,8640,True
473,8640,True
474,8640,True
475,8640,True
476,8640,True
477,8640,True
478,8639,True
479,8640,True
480,8640,True
481,8640,True
482,8640,True
483,8640,True
484,8640,True
485,8640,True
486,8640,True
487,8639,True
488,8640,True
489,8640,True
490,8640,True
491,8640,True
492,8640,True
493,8640,True
494,8640,True
495,8640,True
496,8640,True
497,8640,True
498,8640,True
499,8640,True
500,8640,True
501,8640,True
502,8640,True
503,8640,True
504,8640,True
505,8640,True
506,8640,True
507,8640,True
508,8640,True
509,8640,True
510,8640,True
511,8640,True
512,8640,True
513,8640,True
514,8640,True
515,8640,True
516,8640,True
517,8640,True
518,8640,True
519,8640,True
520,8640,True
521,8640,True
522,8640,True
523,8640,True
524,8640,True
525,8640,True
526,8640,True
527,8640,True
528,8640,True
529,8640,True
530,8640,True
531,8640,True
532,8640,True
533,8640,True
534,8640,True
535,8640,True
536,8640,True
537,8640,True
538,8640,True
539,8640,True
540,8640,True
541,8640,True
542,8640,True
543,8640,True
544,8640,True
545,8640,True
546,8640,True
547,8640,True
548,8640,True
549,8640,True
550,8640,True
551,8640,True
552,8640,True
553,8640,True
554,8640,True
555,8640,True
556,8640,True
557,8640,True
558,8640,True
559,8640,True
560,8640,True
561,8640,True
562,8640,True
563,8640,True
564,8640,True
565,8640,True
566,8640,True
567,8640,True
568,8640,True
569,8640,True
570,8640,True
571,8639,True
572,8640,True
573,8640,True
574,8640,True
575,8640,True
576,8640,True
577,8640,True
578,8640,True
579,8640,True
580,8640,True
581,8640,True
582,8640,True
583,8640,True
584,8640,True
585,8640,True
586,8640,True
587,8640,True
588,8640,True
589,8640,True
590,8640,True
591,8640,True
592,8640,True
593,8640,True
594,8640,True
595,8640,True
596,8640,True
597,8640,True
598,8640,True
599,8640,True
600,8640,True
601,8640,True
602,8640,True
603,8640,True
604,8640,True
605,8640,True
606,8640,True
607,8640,True
608,8640,True
609,8640,True
610,8640,True
611,8640,True
612,8640,True
613,8640,True
614,8640,True
615,8640,True
616,8640,True
617,8639,True
618,8640,True
619,8640,True
620,8640,True
621,8640,True
622,8640,True
623,8640,True
624,8640,True
625,8640,True
626,8640,True
627,8640,True
628,8640,True
629,8640,True
630,8640,True
631,8640,True
632,8640,True
633,8640,True
634,8640,True
635,8640,True
636,8640,True
637,8640,True
638,8640,True
639,8640,True
640,8640,True
641,8640,True
642,8640,True
643,8640,True
644,8640,True
645,8640,True
646,8640,True
647,8640,True
648,8640,True
649,8640,True
650,8640,True
651,8640,True
652,8640,True
653,8640,True
654,8640,True
655,8608,True
656,8640,True
657,8640,True
658,8640,True
659,8640,True
660,8640,True
661,8640,True
662,8640,True
663,8640,True
664,8640,True
665,8640,True
666,8640,True
667,8640,True
668,8640,True
669,8640,True
670,8640,True
671,8640,True
672,8640,True
673,8640,True
674,8640,True
675,8640,True
676,8640,True
677,8640,True
678,8640,True
679,8640,True
680,8640,True
681,8640,True
682,8640,True
683,8640,True
684,8640,True
685,8640,True
686,8640,True
687,8640,True
688,8640,True
689,8640,True
690,8640,True
691,8640,True
692,8640,True
693,8640,True
694,8640,True
