axis,error_code,start_time,end_time,duration_sec,log_entries
Upper/X east,7490.0,2023-05-30 03:42:24.943,2023-05-30 03:42:37.553,12.61,2
Upper/X east,7490.0,2023-05-30 03:44:47.534,2023-05-30 03:46:10.339,82.805,4
Upper/X east,7490.0,2023-05-31 04:50:41.532,2023-05-31 04:56:14.514,332.982,23
Upper/X east,7490.0,2023-05-31 06:41:30.035,2023-05-31 06:44:11.641,161.606,7
Upper/X east,7490.0,2023-05-31 07:24:58.664,2023-05-31 07:26:01.892,63.228,3
Upper/X east,7490.0,2023-05-31 07:30:03.987,2023-05-31 07:30:22.083,18.096,2
Upper/X east,7490.0,2023-05-31 07:36:31.963,2023-05-31 07:38:13.961,101.998,5
Upper/X east,7490.0,2023-06-05 02:39:22.049,2023-06-05 02:40:16.067,54.018,2
Upper/X east,7490.0,2023-06-09 00:27:57.587,2023-06-09 00:28:20.615,23.028,3
Upper/X east,7490.0,2023-06-09 00:34:02.405,2023-06-09 00:35:17.540,75.135,6
Upper/X east,7490.0,2023-07-27 06:27:53.826,2023-07-27 06:28:06.985,13.159,2
Upper/X east,7490.0,2023-07-27 06:53:03.497,2023-07-27 06:54:51.541,108.044,9
Upper/X east,7490.0,2023-07-27 06:56:23.680,2023-07-27 06:58:01.034,97.354,5
Upper/X east,7490.0,2023-10-17 08:00:02.682,2023-10-17 08:01:33.989,91.307,5
Upper/X east,7490.0,2025-02-26 23:43:54.404,2025-02-26 23:44:07.561,13.157,2
Upper/X east,7490.0,2025-02-27 01:10:12.912,2025-02-27 01:10:25.524,12.612,2
Upper/X east,7490.0,2025-02-27 01:12:19.845,2025-02-27 01:12:32.190,12.345,2
Upper/X east,7490.0,2025-03-04 05:07:22.549,2025-03-04 05:08:01.754,39.205,4
Upper/X east,7490.0,2025-03-05 12:12:06.550,2025-03-05 12:12:19.168,12.618,2
Upper/X east,7490.0,2025-03-07 08:55:14.375,2025-03-07 08:55:25.915,11.54,2
Upper/X east,7490.0,2025-03-08 08:58:23.887,2025-03-08 08:58:35.948,12.061,2
Upper/X east,7490.0,2025-03-11 05:16:40.244,2025-03-11 05:17:03.820,23.576,2
Upper/X east,7490.0,2025-03-12 04:00:51.265,2025-03-12 04:01:55.711,64.446,3
Upper/X east,7490.0,2025-03-12 07:33:47.331,2025-03-12 07:34:43.259,55.928,5
Upper/X east,7490.0,2025-03-17 04:01:07.572,2025-03-17 04:07:28.421,380.849,33
Upper/X east,7490.0,2025-03-17 11:50:39.307,2025-03-17 11:55:10.462,271.155,24
Upper/X east,7490.0,2025-03-17 14:15:18.808,2025-03-17 14:15:30.878,12.07,2
Upper/X east,7490.0,2025-03-17 21:30:40.531,2025-03-17 21:30:53.136,12.605,2
Upper/X east,7490.0,2025-03-18 03:43:18.554,2025-03-18 03:43:43.247,24.693,3
Upper/X east,7490.0,2025-03-18 07:53:56.644,2025-03-18 07:54:37.498,40.854,4
Upper/X east,7490.0,2025-04-02 08:44:00.638,2025-04-02 08:44:23.394,22.756,3
Upper/X east,7490.0,2025-04-04 06:35:22.044,2025-04-04 06:36:17.149,55.105,4
Upper/X east,7490.0,2025-04-06 19:22:31.128,2025-04-06 19:22:54.980,23.852,3
Upper/X east,7490.0,2025-04-07 05:54:53.459,2025-04-07 05:55:45.558,52.099,2
Upper/X east,7490.0,2025-04-07 06:07:57.876,2025-04-07 06:08:32.418,34.542,2
Upper/X east,7490.0,2025-04-07 12:35:34.113,2025-04-07 12:41:09.419,335.306,29
Upper/X east,7490.0,2025-04-07 18:28:47.750,2025-04-07 18:28:59.537,11.787,2
Upper/X east,7490.0,2025-04-08 16:38:31.529,2025-04-08 16:38:43.855,12.326,2
Upper/X east,7490.0,2025-04-09 02:47:09.746,2025-04-09 02:47:21.536,11.79,2
Upper/X east,7490.0,2025-04-09 13:59:21.116,2025-04-09 14:00:09.647,48.531,2
Upper/X east,7490.0,2025-04-09 17:59:33.952,2025-04-09 17:59:45.194,11.242,2
Upper/X east,7490.0,2025-04-10 02:18:27.197,2025-04-10 02:18:47.489,20.292,2
Upper/X east,7490.0,2025-04-10 18:00:10.196,2025-04-10 18:00:21.980,11.784,2
Upper/X east,7490.0,2025-04-10 18:47:17.253,2025-04-10 18:47:29.314,12.061,2
Upper/X east,7490.0,2025-04-11 09:09:43.816,2025-04-11 09:09:55.888,12.072,2
Upper/X east,7490.0,2025-04-12 06:58:58.651,2025-04-12 06:59:20.573,21.922,2
Upper/X east,7490.0,2025-04-12 18:27:35.333,2025-04-12 18:28:12.348,37.015,4
Upper/X east,7490.0,2025-04-12 18:36:19.563,2025-04-12 18:36:58.487,38.924,3
Upper/X east,7490.0,2025-04-13 03:57:24.098,2025-04-13 03:57:36.434,12.336,2
Upper/X east,7490.0,2025-04-13 18:22:55.847,2025-04-13 18:23:30.665,34.818,3
Upper/X east,7490.0,2025-04-14 09:17:58.666,2025-04-14 09:18:11.552,12.886,2
Upper/X east,7490.0,2025-04-16 13:54:57.372,2025-04-16 13:55:09.158,11.786,2
Upper/X east,7490.0,2025-04-16 18:41:25.356,2025-04-16 18:41:55.786,30.43,3
Upper/X east,7490.0,2025-04-17 05:22:24.256,2025-04-17 05:22:40.159,15.903,2
Upper/X east,7490.0,2025-04-17 06:03:50.498,2025-04-17 06:04:53.008,62.51,6
Upper/X east,7490.0,2025-04-18 05:06:10.132,2025-04-18 05:06:21.297,11.165,2
Upper/X east,7490.0,2025-04-18 05:44:18.905,2025-04-18 05:44:54.824,35.919,3
