date,servo_stress_index,ssi_diff,ssi_ma,trend_5day,trend_10day,precursor_flag
2021-09-13,0.7707372436108946,0.5613569100405257,0.2891787951898139,0.32136093570382895,0.2638989266714171,True
2022-06-02,0.5089566433136613,0.3053698574309298,0.24991639923337264,0.2667910858535261,0.2375065078729774,True
2023-07-20,0.3562302383720946,0.07911843612260983,0.24283136633182428,0.24987882076905715,0.17246123066837882,True
2023-07-21,0.3933465644821293,0.03711632611003468,0.270173550547271,0.31505984292716055,0.21079632932482636,True
2023-07-22,0.4000338313860151,0.0066872669038858246,0.29182492853049,0.3489664679679478,0.25031512906663106,True
2023-07-23,0.3658950183959162,-0.03413881299009891,0.33446115205967625,0.358523490977128,0.285909497858683,True
2023-07-24,0.4992791148781252,0.133384096482209,0.3728580675876829,0.40295695350285604,0.3156422818490953,True
2023-07-25,0.5787178474626432,0.079438732584518,0.410087773889487,0.4474544753209658,0.34866664804501146,True
2023-07-26,0.5236043162693971,-0.055113531193246135,0.4453009901780458,0.4735060256784194,0.39428293430278993,True
2023-08-04,0.3659628167037632,0.10915287017253278,0.3002383173450542,0.33360777324593666,0.3184077737441303,True
2023-08-05,0.7148368766390053,0.3488740599352421,0.37233162693765515,0.41272665094667416,0.33753102978109106,True
2023-08-06,0.4089297463378691,-0.3059071303011362,0.3988293556009368,0.42124897784685994,0.350881663809914,True
2023-08-07,0.4938272986023285,0.08489755226445939,0.42377004281050973,0.44807333696283924,0.3719262142994582,True
2023-08-08,0.5741906521332274,0.0803633535308989,0.45346611999569364,0.5115494780832387,0.4083269085637012,True
2023-08-09,0.4958953570249728,-0.07829529510825461,0.4729218134246281,0.5375359861474805,0.43557187969670863,True
2023-08-10,0.5408412606528659,0.04494590362789308,0.5134977154420046,0.5027368629502528,0.45773175694846346,True
2023-08-20,0.3569564425531834,0.3470219361270432,0.05952544265128451,0.07935606747914815,0.053503457917540076,True
2023-08-21,0.5000291906849241,0.14307274813174076,0.12953933857446093,0.1773755217715951,0.09365711276892943,True
2023-08-23,0.5405992723540021,0.2748704060046456,0.2418865353659049,0.33464965567352123,0.17230354279472743,True
2023-09-01,0.3755243198148473,0.08721827458235581,0.2906560371541157,0.31794669792267355,0.28390957951892004,True
2023-09-02,0.4064160132998069,0.030891693484959626,0.3168800668812347,0.345918439121644,0.27049125361350057,True
2023-09-04,0.5111590207195762,0.3297318643244141,0.34602548181756543,0.3525665110923768,0.3133594450493355,True
2023-09-05,0.5134585524354975,0.0022995317159213435,0.3676631789874226,0.39759701253297797,0.34242051977188787,True
2023-09-06,0.5536186025409178,0.04016005010542023,0.4042728157768999,0.4332158690781921,0.3755812835004328,True
2023-09-17,0.4768885610952403,0.19494564324638858,0.34701214900047567,0.3721297540322196,0.31841657579493066,True
2023-09-18,0.5130366676274889,0.03614810653224859,0.38799666339463484,0.4081829607129218,0.3473302508637435,True
2023-09-19,0.4895019679566032,-0.023534699670885673,0.40902677224931283,0.41391456575905494,0.3754383366090214,True
2023-09-20,0.4856600070515949,-0.0038419609050083237,0.4308681112246867,0.44940602431595583,0.39172836856390164,True
2023-09-21,0.4893789845530164,0.0037189775014215276,0.4349445457714123,0.49089323765678883,0.41805176033236585,True
2023-10-11,0.358271363483383,0.0538092892430872,0.3289343826942046,0.2943380741731333,0.23323261601751527,True
2023-10-13,0.3639566982941662,0.1073785017620057,0.29888932367028476,0.32363495062851805,0.293299599763157,True
2023-10-15,0.4192055242554771,0.09124308149065358,0.337906102880413,0.34519484506600207,0.3132957100714718,True
2023-10-16,0.3958355395092934,-0.02336998474618368,0.34661026272565704,0.35270768027118415,0.3235228772221587,True
2023-10-17,0.4736343749048934,0.07779883539560001,0.37077773424917104,0.39611891594573073,0.3511724915611373,True
2023-10-18,0.4218019872804069,-0.0518323876244865,0.37985353764874585,0.4076879737429788,0.36566146218574846,True
2023-10-19,0.4711634814550209,0.049361494174613996,0.4105085783520116,0.4363281814810184,0.3792871682719921,True
2023-10-20,0.5014046368454896,0.030241155390468732,0.4301439981450578,0.45276800399902084,0.39898142453251145,True
2023-10-29,0.4564073592835299,0.08481412096763258,0.31947116958931154,0.34157002428910355,0.32176046788631657,True
2023-10-30,0.4603121394418574,0.0039047801583275143,0.3466431092205257,0.3788437070927254,0.3176512181459534,True
2023-10-31,0.4332808654362261,-0.027031274005631267,0.37163473233194305,0.41126306782758426,0.3270051745286047,True
