date,passes,duration_sec,az_motion_deg,el_motion_deg,load_score_day
2026-02-27,16,8763.004089,2958.7542143911423,793.41212614804,0.38053749428431344
2026-02-28,19,9464.237221,2025.1854738906202,850.2346587175035,0.4015728499008649
2026-03-01,18,9145.800403999998,2345.3625139008873,842.7632553297399,0.39133702231384493
2026-03-02,15,7741.721759,3906.620163134214,969.5258503754605,0.3486780384680774
2026-03-03,17,9509.235966,2067.3021477629363,921.0373668000611,0.40427615475650397
2026-03-04,18,9281.111397,2312.1531217819133,782.1154757070433,0.39599860465991166
2026-03-05,18,9280.666664,2340.6533245990886,809.0098395045659,0.3964239718728292
