date,Upper axis current_mean,Upper axis current_max,Upper axis current_std,Lower axis current_mean,Lower axis current_max,Lower axis current_std,Upper/X following error_mean,Upper/X following error_max,Upper/X following error_std,Lower/Y following error_mean,Lower/Y following error_max,Lower/Y following error_std,Upper/X velocity_mean,Upper/X velocity_max,Upper/X velocity_std,Lower/Y velocity_mean,Lower/Y velocity_max,Lower/Y velocity_std,Antenna azimuth velocity_mean,Antenna azimuth velocity_max,Antenna azimuth velocity_std,Antenna elevation velocity_mean,Antenna elevation velocity_max,Antenna elevation velocity_std,Movement warning_count,Antenna alarm_count,Antenna brake_count,samples,tracking_samples,tracking_ratio,failed_movement_attempts,failed_movement_rate,error_spikes,error_spike_ratio,Cabinet temperature_max,is_operational_day,failed_rate_norm,error_rate_norm,current_norm,temp_norm,error_rate_adjusted,health_index,health_status
2016-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,0.0,0.0,1.0,0.0526315789473684,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.5499999999999999,IDLE
2021-02-09,0.0396689660101098,3.430677,0.2718569281627108,0.1244810956946139,5.624439,0.6625035799172192,-6.164371622799372e-06,0.011588,0.0004492594759246,3.095223984660972e-05,0.023401,0.0009621041056618,-0.0025355950845389,5.056381,0.1506244352049958,-0.000504341467666,5.088947,0.2410959104022498,-2.995549748823427,433.965317,74.50952517531373,0.0023009548544535,6.57386,0.2225708484560504,250.0,0.0,5499.0,5738.0,190.0,0.0331125827814569,1.0,0.0001742767514813,0.0,0.0,0,1,0.682984723291655,0.0,0.34883799814606287,0.0,0.0,0.6403311747968458,WARNING
2021-02-10,0.0266593083690241,3.563341,0.1902734520445443,0.1158799311262877,6.686392,0.6372363654379617,5.965852529227919e-06,0.0121,0.0004596084115639,1.3649149207084157e-05,0.024368,0.0009937173500293,-0.0003409668943164,5.006488,0.0770095255280651,0.0001424838522977,5.151288,0.2260515533260552,0.6512538556545896,1439.996057,27.2987324019918,0.0006761178377126,6.601927,0.2067517691465007,342.0,0.0,8312.0,8640.0,317.0,0.0366898148148148,1.0,0.0001157407407407,0.0,0.0,0,1,0.37059918842329315,0.0,0.23443463994092661,0.0,0.0,0.7980651692183791,HEALTHY
2021-02-11,0.0509791755990276,3.687674,0.2850772138626352,0.1416723076744994,5.527024,0.6871662438457125,-6.330362310452599e-06,0.010083,0.0004914483661015,-2.028707026276188e-06,0.044212,0.0014470598009338,-4.296689431647213e-05,5.107615,0.1689955850121219,0.0014359775436971,5.216006,0.2684936988993494,0.0161461237411737,20.745817,3.626626309113372,0.0004134150943396,5.809877,0.2540013440738206,464.0,0.0,8196.0,8640.0,427.0,0.0494212962962962,1.0,0.0001157407407407,0.0,0.0,0,1,0.37059918842329315,0.0,0.4482968766710282,0.0,0.0,0.7659858337088639,HEALTHY
2021-02-12,0.0699314172453703,3.783807,0.3390896971784284,0.196346637037037,5.850032,0.7841786227407618,-3.0104166666666735e-07,0.027586,0.0006543232444334,-2.156412037037037e-05,0.095009,0.0020371256239015,-0.0021525783564814,5.022658,0.1897908723776137,-0.0006534304398148,5.116068,0.359223922312037,2.343127573842592,1433.772708,61.70914645849903,0.0007318061342592,6.366194,0.3373475773183073,659.0,0.0,8014.0,8641.0,604.0,0.0698993172086564,1.0,0.0001157273463719,0.0,0.0,0,1,0.37052770751762715,0.0,0.6149576874066981,0.0,0.0,0.7410188785060631,HEALTHY
2021-02-13,0.0555115693287037,3.689596,0.2928109461185192,0.180835574074074,6.617176,0.7749828070815848,-3.928472222222222e-06,0.009558,0.0005474274555159,-2.353935185185187e-06,0.027036,0.001426684223572,-0.0003611061342592,5.043374,0.1682352640699324,0.0021177002314814,5.145394,0.3113716335170557,-0.0011631326388888,10.410083,2.418301741369139,0.0002108121527777,5.792211,0.3015674811544627,571.0,0.0,8096.0,8641.0,526.0,0.0608725841916444,1.0,0.0001157273463719,0.0,0.0,0,1,0.37052770751762715,0.0,0.4881535030087814,0.0,0.0,0.7600395061657506,HEALTHY
2021-02-14,0.0723409804398148,3.488357,0.3541211232225562,0.1816929099537037,5.368725,0.7464336484641673,-1.994618055555556e-05,0.008948,0.0006267314202884,-2.860763888888886e-06,0.02544,0.0015929865182008,-9.303101851851944e-05,5.078696,0.1465278909591779,-0.0008027357638888,5.092157,0.3316011401393405,-0.0425845620370371,1430.82542,23.285192728283736,0.0018461342592592,5.743609,0.2807686045147611,619.0,0.0,8048.0,8641.0,571.0,0.0660803147783821,1.0,0.0001157273463719,0.0,0.0,0,1,0.37052770751762715,0.0,0.6361467247247424,0.0,0.0,0.7378405229083563,HEALTHY
2021-02-15,0.0283708224537037,3.713309,0.2173713455580619,0.08945055625,5.220679,0.5433512910667735,6.64467592592593e-07,0.01077,0.0003187640375999,-5.019328703703704e-06,0.023695,0.0011765540967219,0.0004126446759259,5.115763,0.1235691820428485,-0.001398133912037,5.156109,0.2261175167957809,0.2836859581018519,650.690341,39.29362368685618,-0.0006234844907407,5.07334,0.2123488815259727,294.0,0.0,8362.0,8641.0,267.0,0.03089920148131,2.0,0.0002314546927438,0.0,0.0,0,1,0.9881227321510332,0.0,0.24948522499893555,0.0,0.0,0.5179219867821947,WARNING
2021-02-16,0.0243989504572288,3.5768,0.2106636237848305,0.0602252882278041,5.30015,0.4338525753658261,-6.075008681560365e-06,0.009035,0.0003390013327574,2.4537909480263923e-05,0.043609,0.0011317100407212,0.0005530481537214,4.998022,0.1424207232986938,-0.0003153481884477,5.086382,0.2059236256766384,22.162088037388585,1439.946924,488.2710551939806,-0.0016229319365667,6.759568,0.2100473274020741,213.0,0.0,8438.0,8641.0,190.0,0.02198819581067,4.0,0.0004629093854877,0.0,0.0,0,1,1.0,0.0,0.21455767292234249,0.0,0.0,0.5178163490616486,WARNING
2021-02-17,0.0227519936342592,3.507584,0.2016555151908932,0.0587529520833333,4.798334,0.4310650950052005,5.611342592592592e-06,0.011531,0.0002983810526199,5.063194444444452e-06,0.16821,0.0020887640665689,0.0003924130787037,5.076369,0.1360885546228378,-0.0005434913194444,5.127472,0.1945218442972343,-66.25610764108797,1436.786517,370.0130713492492,-0.001009821412037,6.672044,0.1972284272131251,205.0,0.0,8448.0,8641.0,179.0,0.0207151950005786,3.0,0.0003471820391158,0.0,0.0,0,1,1.0,0.0,0.2000747867031429,0.0,0.0,0.5199887819945286,WARNING
2021-02-18,0.0177807298611111,3.481948,0.1692939396091145,0.0550300850694444,5.424482,0.4248916128786826,1.1928240740740744e-06,0.005213,0.0002303142190861,-1.1627083333333332e-05,0.022157,0.000917723560726,0.0012379774305555,5.035952,0.1500775928194478,-0.0003026547453703,5.077184,0.198966839097156,11.851084194560183,1157.376653,108.43143703817324,0.0001509890046296,6.937549,0.2161914671467911,183.0,0.0,8469.0,8641.0,162.0,0.0187478301122555,1.0,0.0001157273463719,0.0,0.0,0,1,0.37052770751762715,0.0,0.15635885767088464,0.0,0.0,0.809808702966435,HEALTHY
2021-02-19,0.0100305756944444,2.830164,0.1160036353405337,0.0453480671296296,5.710318,0.402970579356065,1.8341435185185185e-06,0.005984,0.0001832319325856,7.050925925925926e-07,0.019612,0.0005336491222176,-0.0006661392361111,0.207234,0.0160353564991853,-0.0013320668981481,4.962973,0.1412562695003585,0.1274243189814815,1417.741291,29.391117560183297,0.0001513565972222,5.016075,0.1242841059129126,134.0,0.0,8513.0,8641.0,120.0,0.0138872815646337,1.0,0.0001157273463719,0.0,0.0,0,1,0.37052770751762715,0.0,0.08820612931052431,0.0,0.0,0.820031612220489,HEALTHY
2021-02-20,0.0081303851851851,2.501389,0.0948653080061551,0.0470467193287037,5.211066,0.4146283725966745,-1.1293981481481482e-06,0.003058,0.0001489118385356,-9.712384259259258e-06,0.023195,0.0007227569964519,2.808576388888894e-05,5.015665,0.0555162434101746,4.90815972222227e-05,5.07866,0.1390308062822406,-38.26920814710648,1429.119397,203.7813789481992,-0.0018648921296296,4.886176,0.1379827665135929,136.0,0.0,8510.0,8641.0,124.0,0.0143501909501215,2.0,0.0002314546927438,0.0,0.0,0,1,0.9881227321510332,0.0,0.07149637556556333,0.0,0.0,0.5446203141972006,WARNING
