date,Upper axis current_mean,Upper axis current_max,Upper axis current_std,Lower axis current_mean,Lower axis current_max,Lower axis current_std,Upper/X following error_mean,Upper/X following error_max,Upper/X following error_std,Lower/Y following error_mean,Lower/Y following error_max,Lower/Y following error_std,Upper/X velocity_mean,Upper/X velocity_max,Upper/X velocity_std,Lower/Y velocity_mean,Lower/Y velocity_max,Lower/Y velocity_std,Casting temperature_mean,Casting temperature_max,Casting temperature_std,Cabinet temperature_mean,Cabinet temperature_max,Cabinet temperature_std,Ambient temperature_mean,Ambient temperature_max,Ambient temperature_std
2016-02-11,-70.0,0.0,46.21247905424447,-70.0,0.0,46.21247905424447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,3.0,10.0,4.621247905424446,3.0,10.0,4.621247905424446,3.0,10.0,4.621247905424446
2018-05-01,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,0.4629482811342593,720.0,19.043019437097524,-0.021825404166666666,11.328812,0.6031642616244329,-0.1436928829861111,76.347383,13.154956055871505
2018-05-02,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,0.2658917758101852,720.0,13.46315824934448,-0.007452605208333334,10.915041,0.39909834814979145,0.335092478587963,86.77685,9.886459187534022
2018-05-03,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,0.28923958703703706,1171.886777,20.823529842625632,-0.006493818518518518,11.274916,0.4345689075830538,0.03398175798611111,77.55076,6.804518779769612
2018-05-04,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,0.09015089537037037,720.0,7.8920671822130135,-0.005263406365740741,10.441385,0.32285586372560227,0.13855481979166667,88.849102,8.237634920340126
2018-05-05,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,0.09947649085648147,720.0,8.014693578618104,-0.002473717824074074,11.133297,0.3488541676112733,0.19205289907407408,86.404796,7.723022243494599
2018-05-06,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,0.15161521388888888,720.0,9.995696263726112,-0.008374499189814814,10.956061,0.3373793864612746,-0.03197704710648147,86.816936,7.944144868906133
2018-05-07,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,0.0669606792824074,494.338287,6.886077102011913,-0.006927217476851852,11.188626,0.3187540025545978,0.08766414560185186,79.916505,6.175872466972592
2018-05-08,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,0.2186629675925926,720.0,10.274091221919003,-0.005417427893518519,11.175118,0.270277861491524,-0.1268858240740741,84.54749,7.625927059671969
2018-05-09,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,0.5142546283564815,1245.629386,20.158949088924285,-0.003922998958333333,11.063245,0.3352927463547669,0.2044770528935185,80.564356,6.630521998028393
2018-05-10,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,-0.05200408391203703,720.0,13.004182001807488,-0.003047421875,11.261525,0.38375388617737605,-0.6559895730324073,82.016051,10.118357069285612
2018-05-11,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,0.01767941875,219.774242,2.488458598538959,-0.0020056526620370373,11.253456,0.33221892236997164,-0.1694984052083333,75.388507,7.637061707650755
2018-05-12,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,-0.015987960995370372,720.0,12.21870625380155,-0.006500825578703704,10.259574,0.3052364458483764,0.018563078356481476,78.763378,7.483201148062951
2018-05-13,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,-0.002612601041666666,34.456313,0.9346020059851387,-0.002769300115740741,11.164199,0.3386848784575168,-0.007715162615740742,88.783928,7.431269312816005
2018-05-14,-0.001526,-0.001526,0.0,-0.001526,-0.001526,0.0,,,,,,,,,,,,,0.5501290372728326,720.0,22.423082015762375,-0.013165582359069337,11.300178,0.5882604095009029,-8.449781020372727,89.102481,29.818347190318974
2018-05-15,28.002606841235632,90.774395,10.5568420072055,23.993640815732757,100.0,11.81154381113912,,,,,,,,,,,,,0.4124683249521073,720.0,17.891004837452506,-0.008812260656130269,11.275979,0.4680133040150658,-4.738930616259578,86.980724,21.965041362413672
2018-05-16,32.26426646585649,78.945602,6.172419630288146,25.681553408796294,100.0,10.44196339416069,,,,,,,,,,,,,0.11958114282407409,720.0,9.874786411841812,-0.012569724768518519,11.265436,0.5402816407829617,-4.6883965160879635,86.784083,29.806257779304087
